,apifreellmTime,apifreellmAnswer,gemmagoogleTime,gemmagoogleAnswer,openrouterTime,openrouterAnswer,Questions
0,"0,33",TESTMODE,"7,71",TESTMODE,"5,80",TESTMODE,Explica con tus propias palabras qué es la inteligencia artificial.
1,"9,60",TESTMODE,"9,32",TESTMODE,"3,79",TESTMODE,¿Por qué el cielo es azul?
2,"7,47",TESTMODE,"6,75",TESTMODE,"8,44",TESTMODE,Resume la Segunda Guerra Mundial en cinco frases.
3,"5,77",TESTMODE,"9,59",TESTMODE,"3,88",TESTMODE,"¿Qué pesa más, un kilo de hierro o un kilo de plumas? Explica tu razonamiento."
4,"7,20",TESTMODE,"9,49",TESTMODE,"6,92",TESTMODE,"Si tengo 3 manzanas y regalo 2, ¿cuántas me quedan?"
5,"4,03",TESTMODE,"4,18",TESTMODE,"4,35",TESTMODE,Inventa un final alternativo para Caperucita Roja.
6,"6,35",TESTMODE,"0,32",TESTMODE,"4,50",TESTMODE,Escribe un haiku sobre la programación.
7,"4,63",TESTMODE,"9,43",TESTMODE,"1,32",TESTMODE,¿Qué es una función recursiva? Da un ejemplo sencillo.
8,"7,73",TESTMODE,"3,73",TESTMODE,"8,16",TESTMODE,Traduce la frase 'El conocimiento es poder' al inglés.
9,"4,95",TESTMODE,"7,27",TESTMODE,"4,97",TESTMODE,"Ordena estos números de menor a mayor: 42, 7, 19, 3, 25."
